,precision,recall,f1-score,support
Speed limit 20 km/h,0.9523809523809523,1.0,0.975609756097561,60.0
Speed limit 30 km/h,0.9889958734525447,0.9986111111111111,0.9937802349689012,720.0
Speed limit 50 km/h,0.9946595460614153,0.9933333333333333,0.9939959973315544,750.0
Speed limit 60 km/h,0.9888888888888889,0.9888888888888889,0.9888888888888889,450.0
Speed limit 70 km/h,1.0,0.9848484848484849,0.9923664122137404,660.0
Speed limit 80 km/h,0.9612403100775194,0.9841269841269841,0.9725490196078431,630.0
End of speed limit 80 km/h,1.0,0.9933333333333333,0.9966555183946488,150.0
Speed limit 100 km/h,0.9846827133479212,1.0,0.9922822491730982,450.0
Speed limit 120 km/h,1.0,0.9488888888888889,0.9737742303306728,450.0
No passing,0.997920997920998,1.0,0.9989594172736732,480.0
No passing for vehicles over 3.5 tons,0.9984871406959153,1.0,0.9992429977289932,660.0
Right-of-way at next intersection,0.9789719626168224,0.9976190476190476,0.9882075471698113,420.0
Priority road,1.0,0.9898550724637681,0.9949016751638747,690.0
Yield,0.9836065573770492,1.0,0.9917355371900827,720.0
Stop,0.996309963099631,1.0,0.9981515711645101,270.0
No vehicles,1.0,0.9904761904761905,0.9952153110047847,210.0
Vehicles over 3.5 tons prohibited,1.0,1.0,1.0,150.0
No entry,1.0,0.9972222222222222,0.9986091794158554,360.0
General caution,0.9974025974025974,0.9846153846153847,0.9909677419354839,390.0
Dangerous curve left,1.0,1.0,1.0,60.0
Dangerous curve right,0.989010989010989,1.0,0.994475138121547,90.0
Double curve,0.967741935483871,1.0,0.9836065573770492,90.0
Bumpy road,1.0,0.8,0.8888888888888888,120.0
Slippery road,0.9865771812080537,0.98,0.9832775919732442,150.0
Road narrows on right,1.0,0.9888888888888889,0.994413407821229,90.0
Road work,0.9227799227799228,0.9958333333333333,0.9579158316633266,480.0
Traffic signals,0.9941520467836257,0.9444444444444444,0.9686609686609686,180.0
Pedestrians,0.9830508474576272,0.9666666666666667,0.9747899159663865,60.0
Children crossing,0.9868421052631579,1.0,0.9933774834437086,150.0
Bicycles crossing,1.0,1.0,1.0,90.0
Beware of ice/snow,0.9927007299270073,0.9066666666666666,0.9477351916376306,150.0
Wild animals crossing,0.989010989010989,1.0,0.994475138121547,270.0
End of all speed and passing limits,1.0,1.0,1.0,60.0
Turn right ahead,0.9905660377358491,1.0,0.995260663507109,210.0
Turn left ahead,1.0,1.0,1.0,120.0
Ahead only,0.9898477157360406,1.0,0.9948979591836735,390.0
Go straight or right,0.9917355371900827,1.0,0.995850622406639,120.0
Go straight or left,1.0,0.9833333333333333,0.9915966386554622,60.0
Keep right,1.0,0.9971014492753624,0.9985486211901307,690.0
Keep left,1.0,1.0,1.0,90.0
Roundabout mandatory,1.0,0.9222222222222223,0.9595375722543352,90.0
End of no passing,0.9833333333333333,0.9833333333333333,0.9833333333333333,60.0
End of no passing for vehicles over 3.5 tons,1.0,1.0,1.0,90.0
accuracy,0.9889944576405384,0.9889944576405384,0.9889944576405384,0.9889944576405384
macro avg,0.9904859738196,0.9841932390719046,0.9868961583548881,12630.0
weighted avg,0.9893312477316305,0.9889944576405384,0.9889052457314248,12630.0
